"Fechfa","Costo","Venta","Total","mes","aaaa","Descu","Contro","Codart","Nommarca"
2010-01-07 00:00:00.000,22.42,43.0,23.65,1,2010,19.35,JHI,JHI-005,
2010-01-07 00:00:00.000,46.2,86.0,47.3,1,2010,38.7,JHI,JHI-003,
2010-01-07 00:00:00.000,62.4,111.28,68.9936,1,2010,42.2864,CR-,CR-006,
2010-01-07 00:00:00.000,18.04,32.52,21.788400000000003,1,2010,10.731600000000002,PFI,PFI-064,
2010-01-07 00:00:00.000,12.24,22.02,14.7534,1,2010,7.2666,PFI,PFI-038,
2010-01-07 00:00:00.000,40.0,71.92,48.1864,1,2010,23.733600000000003,PFI,PFI-027,
2010-01-07 00:00:00.000,50.0,89.9,60.233000000000004,1,2010,29.667,PFI,PFI-017,
2010-01-07 00:00:00.000,19.2,34.52,23.1284,1,2010,11.391600000000002,PFI,PFI-008,
2010-01-07 00:00:00.000,18.69,38.2,23.684,1,2010,14.516000000000002,APE,APE-035,
2010-01-07 00:00:00.000,18.68,38.2,23.684,1,2010,14.516000000000002,APE,APE-034,
2010-01-07 00:00:00.000,36.4,76.4,47.368,1,2010,29.032000000000004,APE,APE-030,
2010-01-07 00:00:00.000,14.0,24.0,13.2,1,2010,10.8,HY-,HY-126,
2010-01-07 00:00:00.000,18.9,32.1,19.902,1,2010,12.198,"210","2106-3726010/87",
2010-01-07 00:00:00.000,62.24,102.56,68.71520000000001,1,2010,33.8448,FTU,FTU-020-1,
2010-01-07 00:00:00.000,31.92,54.300000000000004,29.865000000000002,1,2010,24.435000000000002,HY-,HY-203,
2010-01-07 00:00:00.000,8.64,14.68,8.074,1,2010,6.606,HY-,HY-273,
2010-01-07 00:00:00.000,18.78,30.68,16.874,1,2010,13.806000000000001,HY-,HY-087,
2010-01-07 00:00:00.000,23.48,41.92,29.344,1,2010,12.576,PFI,PFI-043,
2010-01-07 00:00:00.000,88.48,141.12,87.4944,1,2010,53.625600000000006,"210","2101-3508180",
2010-01-07 00:00:00.000,17.6,28.0,17.36,1,2010,10.64,"210","2103-1006100",
2010-01-07 00:00:00.000,24.46,43.0,23.65,1,2010,19.35,JHI,JHI-015,
2010-01-07 00:00:00.000,3.7800000000000002,7.199999999999999,4.4639999999999995,1,2010,2.7359999999999998,TKS,TKS-013,
2010-01-07 00:00:00.000,38.7,66.88,41.465599999999995,1,2010,25.414399999999997,CR-,CR-009,
2010-01-07 00:00:00.000,44.400000000000006,75.4,46.748000000000005,1,2010,28.652,"210","2103-5205070-01",
2010-01-07 00:00:00.000,15.52,25.12,15.5744,1,2010,9.5456,"210","2101-1602560-01",
2010-01-07 00:00:00.000,69.14,122.28,81.9276,1,2010,40.3524,SKT,SKT-289,
2010-01-07 00:00:00.000,70.8,150.4,93.248,1,2010,57.152,APE,APE-025,
2010-01-07 00:00:00.000,33.1,66.0,40.92,1,2010,25.080000000000002,APE,APE-001,
2010-01-07 00:00:00.000,33.26,66.0,40.92,1,2010,25.080000000000002,APE,APE-002,
2010-01-07 00:00:00.000,23.1,41.46,27.7782,1,2010,13.6818,PFI,PFI-024,
2010-01-07 00:00:00.000,95.4,150.0,93.0,1,2010,57.0,"210","2101-3401060",
2010-01-07 00:00:00.000,69.84,129.0,70.94999999999999,1,2010,58.050000000000004,JHI,JHI-125,
2010-01-07 00:00:00.000,74.85000000000001,134.85,90.34949999999999,1,2010,44.5005,PFI,PFI-015,
2010-01-07 00:00:00.000,75.0,134.85,90.34949999999999,1,2010,44.5005,PFI,PFI-017,
2010-01-07 00:00:00.000,20.7,36.7,24.589000000000002,1,2010,12.111,PFI,PFI-029,
